,name,socket,form_factor,max_memory,memory_slots,color,item_price_in_php,chipset,ram_type
0,MSI B650 GAMING PLUS WIFI,AM5,ATX,192,4,Black,12350.0,B650,DDR5
2,MSI MAG B650 TOMAHAWK WIFI,AM5,ATX,256,4,Black,13950.0,B650,DDR5
4,Gigabyte X870E AORUS ELITE WIFI7,AM5,ATX,256,4,Black,19699.0,X870,DDR5
6,Asus PRIME B550M-A WIFI II,AM4,Micro ATX,128,4,Blue / Silver,5999.0,B550,DDR4
8,Gigabyte B650 EAGLE AX,AM5,ATX,192,4,Gray / Black,11199.0,B650,DDR5
10,ASRock B650M Pro RS WiFi,AM5,Micro ATX,256,4,Black / Silver,9799.0,B650,DDR5
12,MSI MAG X870 TOMAHAWK WIFI,AM5,ATX,256,4,Black,19799.0,X870,DDR5
14,Gigabyte A520M K V2,AM4,Micro ATX,64,2,Brown / Black,3450.0,A520,DDR4
16,Gigabyte B550M K,AM4,Micro ATX,128,4,Brown / Silver,4499.0,B550,DDR4
18,MSI B760 GAMING PLUS WIFI,LGA1700,ATX,192,4,Black / Silver,10880.0,B760,DDR5
20,Gigabyte X870 EAGLE WIFI7,AM5,ATX,256,4,Black,13899.0,X870,DDR5
22,Gigabyte X870 AORUS ELITE WIFI7 ICE,AM5,ATX,256,4,White,18799.0,X870,DDR5
24,Asus ROG STRIX X870E-E GAMING WIFI,AM5,ATX,192,4,Black,34199.0,X870,DDR5
26,Gigabyte B850 EAGLE WIFI6E,AM5,ATX,256,4,Gray / Black,11699.0,B850,DDR5
27,MSI MAG B850 TOMAHAWK MAX WIFI,AM5,ATX,256,4,Black / Green,17650.0,B850,DDR5
28,Asus ROG STRIX B650-A GAMING WIFI,AM5,ATX,192,4,Black / Silver,15999.0,B650,DDR5
30,MSI MAG B550 TOMAHAWK MAX WIFI,AM4,ATX,128,4,Silver / Black,10500.0,B550,DDR4
32,Gigabyte B850 AORUS ELITE WIFI7,AM5,ATX,256,4,Black,14699.0,B850,DDR5
33,Asus ROG STRIX X870-A GAMING WIFI,AM5,ATX,192,4,White,27350.0,X870,DDR5
35,ASRock A620I LIGHTNING WIFI,AM5,Mini ITX,96,2,Black,9399.0,A620,DDR5
36,Asus TUF GAMING B650-E WIFI,AM5,ATX,192,4,Black / Orange,13350.0,B650,DDR5
38,Gigabyte Z790 EAGLE AX,LGA1700,ATX,192,4,Gray / Black,12550.0,Z790,DDR5
40,MSI B450M-A PRO MAX II,AM4,Micro ATX,64,2,Black,3299.0,B450,DDR4
42,MSI PRO B650M-P,AM5,Micro ATX,192,4,Black / Silver,7699.0,B650,DDR5
44,Gigabyte B850 AORUS ELITE WIFI7 ICE,AM5,ATX,256,4,White / Silver,15450.0,B850,DDR5
45,Asus ROG STRIX B550-F GAMING WIFI II,AM4,ATX,128,4,Black / Red,11725.0,B550,DDR4
47,Asus ROG CROSSHAIR X870E HERO,AM5,ATX,192,4,Black,43899.0,X870,DDR5
49,Gigabyte A520I AC,AM4,Mini ITX,64,2,Black,6350.0,A520,DDR4
51,Gigabyte B550M AORUS ELITE AX,AM4,Micro ATX,128,4,Black / Silver,7150.0,B550,DDR4
53,ASRock B850M Pro-A WiFi,AM5,Micro ATX,256,4,Black,9750.0,B850,DDR5
54,ASRock B650M PG Lightning Wifi,AM5,Micro ATX,256,4,Silver / Black,8599.0,B650,DDR5
56,MSI A520M-A PRO,AM4,Micro ATX,64,2,Black,3250.0,A520,DDR4
58,MSI PRO B650M-A WIFI,AM5,Micro ATX,192,4,Black,10999.0,B650,DDR5
60,Asus ROG STRIX B650E-F GAMING WIFI,AM5,ATX,192,4,Black,18500.0,B650,DDR5
62,Asus ROG STRIX B850-A GAMING WIFI,AM5,ATX,192,4,White,19150.0,B850,DDR5
63,MSI MAG X670E TOMAHAWK WIFI,AM5,ATX,192,4,Black,18699.0,X670,DDR5
64,Asus TUF GAMING B650M-E WIFI,AM5,Micro ATX,192,4,Black,12599.0,B650,DDR5
66,Asus ROG STRIX B650E-I GAMING WIFI,AM5,Mini ITX,96,2,Black,21399.0,B650,DDR5
68,MSI MPG X870E CARBON WIFI,AM5,ATX,256,4,Black,29499.0,X870,DDR5
70,MSI B850 GAMING PLUS WIFI,AM5,ATX,256,4,Silver / Black,13250.0,B850,DDR5
71,Asus ROG CROSSHAIR X870E EXTREME,AM5,EATX,256,4,Black / Silver,67599.0,X870,DDR5
72,ASRock B850M Pro RS WiFi,AM5,Micro ATX,256,4,Silver / Black,10799.0,B850,DDR5
73,Gigabyte X870E AORUS PRO ICE,AM5,ATX,256,4,White,22499.0,X870,DDR5
75,Gigabyte X870I AORUS PRO ICE,AM5,Mini ITX,128,2,White,19199.0,X870,DDR5
76,MSI B650M GAMING PLUS WIFI,AM5,Micro ATX,192,4,Silver / Black,8850.0,B650,DDR5
78,Asus ROG STRIX B850-F GAMING WIFI,AM5,ATX,192,4,Black,20899.0,B850,DDR5
79,MSI PRO A620M-E,AM5,Micro ATX,96,2,Black,5650.0,A620,DDR5
81,ASRock B650M-HDV/M.2,AM5,Micro ATX,96,2,Silver / Black,7199.0,B650,DDR5
83,ASRock X870 Pro RS WiFi,AM5,ATX,256,4,White,14999.0,X870,DDR5
84,Gigabyte X870 AORUS ELITE WIFI7,AM5,ATX,256,4,Black,18450.0,X870,DDR5
86,Gigabyte X870 GAMING WIFI6,AM5,ATX,256,4,Black / Gray,13199.0,X870,DDR5
88,MSI MAG Z890 TOMAHAWK WIFI,LGA1851,ATX,256,4,Black / Yellow,20999.0,Z890,DDR5
90,Asus ProArt X870E-CREATOR WIFI,AM5,ATX,256,4,Black / Gold,32599.0,X870,DDR5
92,MSI MAG B760 TOMAHAWK WIFI,LGA1700,ATX,192,4,Black,12999.0,B760,DDR5
94,Gigabyte B650M D3HP AX,AM5,Micro ATX,192,4,Black / Gray,8599.0,B650,DDR5
96,ASRock B650I Lightning Wifi,AM5,Mini ITX,96,2,Black,12799.0,B650,DDR5
98,ASRock X870E Taichi,AM5,EATX,256,4,Black,29499.0,X870,DDR5
99,MSI PRO B850-P WIFI,AM5,ATX,256,4,Silver / Black,12599.0,B850,DDR5
100,Gigabyte B760M DS3H AX,LGA1700,Micro ATX,192,4,Black,7650.0,B760,DDR5
102,MSI B840 GAMING PLUS WIFI,AM5,ATX,256,4,Silver / Black,10450.0,B840,DDR5
103,ASRock B650M Pro RS,AM5,Micro ATX,256,4,Black / Silver,8899.0,B650,DDR5
105,ASRock B650 Steel Legend WiFi,AM5,ATX,256,4,White / Silver,14499.0,B650,DDR5
107,Gigabyte B650 AORUS ELITE AX ICE,AM5,ATX,192,4,Silver,13199.0,B650,DDR5
109,MSI X670E GAMING PLUS WIFI,AM5,ATX,192,4,Silver / Black,15650.0,X670,DDR5
110,Gigabyte B650 AORUS ELITE AX V2,AM5,ATX,192,4,Black / Silver,12650.0,B650,DDR5
112,Asus ROG STRIX X870-I GAMING WIFI,AM5,Mini ITX,128,2,Black,32799.0,X870,DDR5
114,MSI PRO Z790-P WIFI,LGA1700,ATX,192,4,Black / Silver,14299.0,Z790,DDR5
116,ASRock B850M Steel Legend WiFi,AM5,Micro ATX,256,4,Silver / Black,11399.0,B850,DDR5
117,Gigabyte B550M DS3H AC,AM4,Micro ATX,128,4,Black,5699.0,B550,DDR4
119,MSI X870 GAMING PLUS WIFI,AM5,ATX,256,4,Black / White,16999.0,X870,DDR5
121,Gigabyte B850I AORUS PRO,AM5,Mini ITX,128,2,,15450.0,B850,DDR5
122,Gigabyte A520M DS3H V2,AM4,Micro ATX,128,4,Gray / Brown,3980.0,A520,DDR4
124,Gigabyte B550 AORUS ELITE AX V2,AM4,ATX,128,4,Black / Silver,10999.0,B550,DDR4
126,ASRock B850 Steel Legend WiFi,AM5,ATX,256,4,White / Black,13499.0,B850,DDR5
127,MSI MPG B650I EDGE WIFI,AM5,Mini ITX,128,2,Black / Silver,13625.0,B650,DDR5
129,MSI MAG Z790 TOMAHAWK WIFI,LGA1700,ATX,192,4,Black,17999.0,Z790,DDR5
130,Gigabyte B550I AORUS PRO AX,AM4,Mini ITX,64,2,Black / Silver,11250.0,B550,DDR4
132,Asus ROG STRIX B860-I GAMING WIFI,LGA1851,Mini ITX,128,2,Black / Silver,15799.0,B860,DDR5
133,Asus ROG STRIX B550-A GAMING,AM4,ATX,128,4,Black / White,11525.0,B550,DDR4
135,Gigabyte X870E AORUS PRO,AM5,ATX,256,4,Black,22150.0,X870,DDR5
137,Gigabyte B650E AORUS ELITE X AX ICE,AM5,ATX,192,4,Silver / White,15450.0,B650,DDR5
139,MSI PRO B840-P WIFI,AM5,ATX,256,4,Silver,9799.0,B840,DDR5
140,Gigabyte X870E AORUS MASTER,AM5,ATX,256,4,Black,31599.0,X870,DDR5
142,Asus ROG STRIX B850-E GAMING WIFI,AM5,ATX,256,4,Black,23250.0,B850,DDR5
143,MSI MAG B650M MORTAR WIFI,AM5,Micro ATX,192,4,Black,12999.0,B650,DDR5
145,Gigabyte B650M AORUS ELITE AX,AM5,Micro ATX,192,4,Black,10599.0,B650,DDR5
147,Gigabyte B760M DS3H DDR4,LGA1700,Micro ATX,128,4,Black,6350.0,B760,DDR4
148,Gigabyte B650M AORUS ELITE AX ICE,AM5,Micro ATX,192,4,Silver,11199.0,B650,DDR5
150,Asus ROG CROSSHAIR X670E HERO,AM5,ATX,192,4,Black / Silver,36899.0,X670,DDR5
151,Gigabyte B550M DS3H,AM4,Micro ATX,128,4,Black / Gold,4999.0,B550,DDR4
153,ASRock B650M-H/M.2+,AM5,Micro ATX,96,2,Silver / Black,6999.0,B650,DDR5
155,ASRock X870 Steel Legend WiFi,AM5,ATX,256,4,White,16299.0,X870,DDR5
156,Gigabyte A620M S2H,AM5,Micro ATX,96,2,Gray / Black,5850.0,A620,DDR5
158,Gigabyte Z890 EAGLE WIFI7,LGA1851,ATX,256,4,Silver / Black,16199.0,Z890,DDR5
160,Asus ROG STRIX X870-F GAMING WIFI,AM5,ATX,192,4,Black,29599.0,X870,DDR5
162,Asus ROG STRIX X670E-E GAMING WIFI,AM5,ATX,192,4,Black / Silver,29699.0,X670,DDR5
163,MSI PRO Z890-P WIFI,LGA1851,ATX,256,4,Black / Silver,15799.0,Z890,DDR5
165,ASRock B850M-X WiFi,AM5,Micro ATX,128,2,Black / White,8150.0,B850,DDR5
166,Gigabyte B550M AORUS ELITE,AM4,Micro ATX,128,4,Black / Orange,6199.0,B550,DDR4
168,Asus PRIME B650M-A WIFI II,AM5,Micro ATX,192,4,Black / Silver,9325.0,B650,DDR5
170,MSI PRO B760M-A WIFI DDR4,LGA1700,Micro ATX,128,4,Black,7725.0,B760,DDR4
171,MSI B650M PROJECT ZERO,AM5,Micro ATX,256,4,Silver / Black,13399.0,B650,DDR5
173,Gigabyte B650M GAMING WIFI,AM5,Micro ATX,96,2,Black / Silver,6499.0,B650,DDR5
175,Gigabyte B760 GAMING X AX,LGA1700,ATX,192,4,Black / Gray,11299.0,B760,DDR5
177,Asus ROG CROSSHAIR X870E APEX,AM5,ATX,128,2,Black,42499.0,X870,DDR5
178,Asus ROG STRIX Z890-E GAMING WIFI,LGA1851,ATX,192,4,Black,34899.0,Z890,DDR5
180,Asus TUF GAMING X670E-PLUS WIFI,AM5,ATX,192,4,Black / Orange,20999.0,X670,DDR5
181,Gigabyte B650I AX,AM5,Mini ITX,96,2,Black,9899.0,B650,DDR5
183,Gigabyte B450M K,AM4,Micro ATX,64,2,Brown / Silver,3380.0,B450,DDR4
185,MSI B650M GAMING WIFI,AM5,Micro ATX,96,2,Silver / Black,8299.0,B650,DDR5
187,MSI PRO B650M-B,AM5,Micro ATX,96,2,Black,5999.0,B650,DDR5
189,Gigabyte Z890 AORUS ELITE WIFI7,LGA1851,ATX,256,4,Black,18950.0,Z890,DDR5
191,Gigabyte B450M DS3H WIFI,AM4,Micro ATX,128,4,Brown / Black,4350.0,B450,DDR4
193,Asus ROG STRIX B650E-E GAMING WIFI,AM5,ATX,192,4,Black,22280.0,B650,DDR5
195,ASRock B650M PG RIPTIDE WIFI,AM5,Micro ATX,256,4,Black,11450.0,B650,DDR5
197,Gigabyte Z790 AORUS PRO X,LGA1700,ATX,192,4,Silver,26599.0,Z790,DDR5
198,Gigabyte B650M D3HP,AM5,Micro ATX,192,4,Black,7150.0,B650,DDR5
200,Asus PRIME A520M-K,AM4,Micro ATX,64,2,Black / Silver,3499.0,A520,DDR4
202,Gigabyte X870 GAMING X WIFI7,AM5,ATX,256,4,Black,14999.0,X870,DDR5
204,Gigabyte Z790M AORUS ELITE AX ICE,LGA1700,Micro ATX,192,4,White / Silver,15580.0,Z790,DDR5
206,Gigabyte Z890M AORUS ELITE WIFI7 ICE,LGA1851,Micro ATX,256,4,White / Silver,16199.0,Z890,DDR5
208,MSI B760M PROJECT ZERO,LGA1700,Micro ATX,256,4,Silver / Black,11699.0,B760,DDR5
210,Asus ROG MAXIMUS Z890 HERO,LGA1851,ATX,192,4,Black,45999.0,Z890,DDR5
212,Gigabyte B650E AORUS STEALTH ICE,AM5,ATX,192,4,White / Silver,17350.0,B650,DDR5
214,MSI MPG X670E CARBON WIFI,AM5,ATX,192,4,Black,28425.0,X670,DDR5
216,MSI MAG B860 TOMAHAWK WIFI,LGA1851,ATX,256,4,Black / Yellow,14799.0,B860,DDR5
217,MSI MPG B650 EDGE WIFI,AM5,ATX,192,4,Black / Silver,15599.0,B650,DDR5
219,Asus PRIME B650M-K,AM5,Micro ATX,96,2,Silver / Black,6699.0,B650,DDR5
220,MSI MAG B760M MORTAR WIFI II,LGA1700,Micro ATX,192,4,Silver / Black,11500.0,B760,DDR5
222,Asus ROG STRIX X670E-A GAMING WIFI,AM5,ATX,192,4,Silver / Black,21850.0,X670,DDR5
224,MSI MPG Z790 EDGE WIFI,LGA1700,ATX,192,4,Silver / Black,22699.0,Z790,DDR5
225,Gigabyte B650M GAMING X AX,AM5,Micro ATX,192,4,Black,11550.0,B650,DDR5
227,Gigabyte B550M DS3H R2,AM4,Micro ATX,128,4,Black,4999.0,B550,DDR4
228,MSI PRO B860M-A WIFI,LGA1851,Micro ATX,256,4,Silver / Black,10999.0,B860,DDR5
229,Asus ROG STRIX X670E-F GAMING WIFI,AM5,ATX,192,4,Black / Silver,26499.0,X670,DDR5
230,MSI Z890 GAMING PLUS WIFI,LGA1851,ATX,256,4,Black,17950.0,Z890,DDR5
232,Asus ROG STRIX Z890-A GAMING WIFI,LGA1851,ATX,256,4,White,28999.0,Z890,DDR5
234,Asus PRIME H610M-K D4,LGA1700,Micro ATX,64,2,Silver / Black,4880.0,H610,DDR5
236,Asus PRIME B550M-K,AM4,Micro ATX,128,4,Black / White,4950.0,B550,DDR4
238,Asus PRIME B760M-A WIFI D4,LGA1700,Micro ATX,128,4,Silver / Black,8399.0,B760,DDR5
240,Gigabyte B450M DS3H V2,AM4,Micro ATX,128,4,Black,3780.0,B450,DDR4
241,Asus ROG MAXIMUS Z890 EXTREME,LGA1851,EATX,192,4,Black,68999.0,Z890,DDR5
243,Asus ProArt X670E-CREATOR WIFI,AM5,ATX,192,4,Black / Copper,29599.0,X670,DDR5
244,Gigabyte X670 GAMING X AX V2,AM5,ATX,192,4,Black / Gray,15325.0,X670,DDR5
245,Gigabyte B550M DS3H AC R2,AM4,Micro ATX,128,4,Black,6299.0,B550,DDR4
246,Asus ROG STRIX Z890-H GAMING WIFI,LGA1851,ATX,256,4,Black,25550.0,Z890,DDR5
247,MSI MPG Z890I EDGE TI WIFI,LGA1851,Mini ITX,128,2,White,23399.0,Z890,DDR5
248,MSI MPG B760I EDGE WIFI,LGA1700,Mini ITX,96,2,Black / Silver,11725.0,B760,DDR5
250,Asus PRIME B550M-K ARGB,AM4,Micro ATX,64,2,Black,4899.0,B550,DDR4
251,Gigabyte B760M DS3H AX DDR4,LGA1700,Micro ATX,128,4,Black,7325.0,B760,DDR4
252,MSI MPG Z890 CARBON WIFI,LGA1851,ATX,256,4,Black,31499.0,Z890,DDR5
254,MSI PRO Z790-S WIFI,LGA1700,ATX,192,4,Black,11725.0,Z790,DDR5
256,Asus ROG STRIX Z890-F GAMING WIFI,LGA1851,ATX,192,4,Black,30999.0,Z890,DDR5
258,Gigabyte Z890M GAMING X,LGA1851,Micro ATX,256,4,Silver / Black,12199.0,Z890,DDR5
260,Asus PRIME B840M-A WIFI-CSM,AM5,Micro ATX,192,4,Silver / Black,12500.0,B840,DDR5
261,Asus PRIME B760M-K D4,LGA1700,Micro ATX,64,2,Silver / Black,5999.0,B760,DDR5
263,Gigabyte B760M H DDR4,LGA1700,Micro ATX,64,2,Brown / Gray,5725.0,B760,DDR4
264,Asus PRIME B550M-A,AM4,Micro ATX,128,4,Black / White,5299.0,B550,DDR4
266,Gigabyte Z890 UD WIFI6E,LGA1851,ATX,256,4,Black / Gray,14899.0,Z890,DDR5
268,MSI MAG B760 TOMAHAWK WIFI DDR4,LGA1700,ATX,128,4,Black,12500.0,B760,DDR4
269,MSI PRO B760M-A WIFI,LGA1700,Micro ATX,192,4,Black,8199.0,B760,DDR5
271,Gigabyte Z890 AORUS ELITE WIFI7 ICE,LGA1851,ATX,256,4,White / Silver,19550.0,Z890,DDR5
273,Gigabyte Z790M AORUS ELITE AX,LGA1700,Micro ATX,192,4,Black / Silver,15599.0,Z790,DDR5
275,Gigabyte B760M AORUS ELITE AX,LGA1700,Micro ATX,192,4,Black / Silver,10899.0,B760,DDR5
277,MSI MAG B550M MORTAR MAX WIFI,AM4,Micro ATX,128,4,Silver / Black,9150.0,B550,DDR4
279,MSI B860M GAMING PLUS WIFI,LGA1851,Micro ATX,256,4,Silver / Black,11699.0,B860,DDR5
280,Asus ROG STRIX Z890-I GAMING WIFI,LGA1851,Mini ITX,96,2,Black,33750.0,Z890,DDR5
282,Gigabyte Z890 AORUS MASTER,LGA1851,ATX,256,4,Black / Silver,39999.0,Z890,DDR5
284,Gigabyte B650M K,AM5,Micro ATX,192,4,Brown / Silver,7399.0,B650,DDR5
286,Gigabyte B650 AERO G,AM5,ATX,192,4,Black / Silver,16750.0,B650,DDR5
288,Gigabyte B760I AORUS PRO DDR4,LGA1700,Mini ITX,64,2,Black / Gray,12699.0,B760,DDR4
289,Asus TUF GAMING B650M-E,AM5,Micro ATX,192,4,Black,11299.0,B650,DDR5
291,Asus ROG MAXIMUS Z890 APEX,LGA1851,ATX,96,2,White,45999.0,Z890,DDR5
293,MSI MPG Z890 EDGE TI WIFI,LGA1851,ATX,256,4,Silver / White,26999.0,Z890,DDR5
295,Gigabyte Z890I AORUS ULTRA,LGA1851,Mini ITX,128,2,Black,23650.0,Z890,DDR5
297,MSI MPG B650 CARBON WIFI,AM5,ATX,192,4,Black,17699.0,B650,DDR5
299,ASRock B650M PG RIPTIDE,AM5,Micro ATX,256,4,Black,10599.0,B650,DDR5
301,Gigabyte Z790 AORUS MASTER,LGA1700,EATX,192,4,Black / Silver,36599.0,Z790,DDR5
302,Asus ROG CROSSHAIR X670E EXTREME,AM5,EATX,192,4,Black / Silver,47299.0,X670,DDR5
303,MSI MAG B860M MORTAR WIFI,LGA1851,Micro ATX,256,4,Black / Green,13699.0,B860,DDR5
304,Gigabyte Z890 GAMING X WIFI7,LGA1851,ATX,256,4,Silver / Black,17550.0,Z890,DDR5
306,Asus PRIME B760M-R D4,LGA1700,Micro ATX,64,2,Black,5799.0,B760,DDR5
308,MSI B860 GAMING PLUS WIFI,LGA1851,ATX,256,4,Silver / Black,12350.0,B860,DDR5
309,MSI PRO B760M-E DDR4,LGA1700,Micro ATX,64,2,Black,5150.0,B760,DDR4
310,Asus PRIME X870-P WIFI-CSM,AM5,ATX,192,4,Black / Silver,19799.0,X870,DDR5
312,Gigabyte A520M DS3H AC,AM4,Micro ATX,128,4,Black,4180.0,A520,DDR4
314,Asus PRIME B860M-A WIFI-CSM,LGA1851,Micro ATX,256,4,Silver / Black,12500.0,B860,DDR5
315,Gigabyte B760M DS3H,LGA1700,Micro ATX,192,4,Black / Silver,6699.0,B760,DDR5
317,MSI MPG Z790 CARBON WIFI II,LGA1700,ATX,192,4,Black,26850.0,Z790,DDR5
318,MSI PRO B760-P WIFI,LGA1700,ATX,192,4,Black / Silver,10999.0,B760,DDR5
320,ASRock X670E Taichi Carrara,AM5,EATX,256,4,Black / White,19799.0,X670,DDR5
321,Asus ROG STRIX B860-G GAMING WIFI,LGA1851,Micro ATX,256,4,White / Silver,17150.0,B860,DDR5
323,Gigabyte Z790 UD AX,LGA1700,ATX,192,4,Black,13499.0,Z790,DDR5
324,ASRock Z890 Pro RS WiFi White,LGA1851,ATX,256,4,White / Silver,15999.0,Z890,DDR5
325,Gigabyte Z890 AORUS PRO ICE,LGA1851,ATX,256,4,White / Silver,29699.0,Z890,DDR5
327,Asus ROG STRIX B860-F GAMING WIFI,LGA1851,ATX,256,4,Black,19150.0,B860,DDR5
328,Gigabyte Z790I AORUS ULTRA,LGA1700,Mini ITX,96,2,Silver / Black,19999.0,Z790,DDR5
330,Gigabyte B760M AORUS ELITE X AX,LGA1700,Micro ATX,192,4,White / Silver,12625.0,B760,DDR5
332,MSI PRO B860-P WIFI,LGA1851,ATX,256,4,Silver / Black,11799.0,B860,DDR5
333,Gigabyte Z790 AERO G,LGA1700,ATX,192,4,,20599.0,Z790,DDR5
334,ASRock B660M-ITX/ac,LGA1700,Mini ITX,64,2,Silver / Black,6950.0,B660,DDR5
335,ASRock B860M Pro RS WiFi,LGA1851,Micro ATX,256,4,Silver / Black,10299.0,B860,DDR5
336,Gigabyte Z890 AERO G,LGA1851,ATX,256,4,Silver / White,23650.0,Z890,DDR5
338,MSI PRO Z790-A WIFI DDR4,LGA1700,ATX,128,4,Black / Silver,15225.0,Z790,DDR4
339,Asus PRIME H610M-E D4,LGA1700,Micro ATX,64,2,Silver / Black,4899.0,H610,DDR5
341,ASRock B860M Steel Legend WiFi,LGA1851,Micro ATX,256,4,White / Silver,12599.0,B860,DDR5
342,Asus ROG STRIX B860-A GAMING WIFI,LGA1851,ATX,256,4,White / Silver,17699.0,B860,DDR5
343,Gigabyte Z890M AORUS ELITE WIFI7,LGA1851,Micro ATX,256,4,Black,15550.0,Z890,DDR5
345,Asus PRIME B650M-A II,AM5,Micro ATX,192,4,Silver / Black,7799.0,B650,DDR5
347,MSI MPG B760I EDGE WIFI DDR4,LGA1700,Mini ITX,64,2,Silver / Black,11699.0,B760,DDR4
348,Gigabyte B760 GAMING X AX DDR4,LGA1700,ATX,128,4,Black,10899.0,B760,DDR4
349,Gigabyte B860M GAMING X WIFI6E,LGA1851,Micro ATX,256,4,Silver / Black,11399.0,B860,DDR5
351,Asus PRIME H610M-D D4,LGA1700,Micro ATX,64,2,Silver / Black,4999.0,H610,DDR5
353,Gigabyte B760M AORUS ELITE AX DDR4,LGA1700,Micro ATX,128,4,Black / Silver,9499.0,B760,DDR4
356,Asus PRIME X670E-PRO WIFI-CSM,AM5,ATX,192,4,Silver / Black,17699.0,X670,DDR5
357,Asus PRIME Z890-P WIFI-CSM,LGA1851,ATX,192,4,Black / Silver,19199.0,Z890,DDR5
358,Gigabyte B760M GAMING AC DDR4,LGA1700,Micro ATX,64,2,Black / Red,7525.0,B760,DDR4
359,Asus PRIME A620M-K-CSM,AM5,Micro ATX,96,2,Black / Silver,6299.0,A620,DDR5
361,Gigabyte B860M GAMING X,LGA1851,Micro ATX,256,4,Silver / Black,10199.0,B860,DDR5
