,brand,clean_name,item_price_in_php,stocks,total_capacity_gb,num_modules,capacity_per_module_gb,ddr_gen,mhz,cl,voltage
0,Kingston,Kingston Fury Beast,1399.0,9,8,1,8,4,2666,16.0,1.2
1,Kingston,Kingston Fury Beast,1499.0,19,8,1,8,4,3200,16.0,1.35
2,Kingston,Kingston Fury Beast RGB,1899.0,5,8,1,8,4,3200,16.0,1.35
3,G.Skill,G.Skill Ripjaws V black,1299.0,3,8,1,8,4,3200,16.0,1.35
4,Kingston,Kingston Fury Beast RGB,1999.0,26,8,1,8,4,3600,17.0,1.35
5,Kingston,Kingston Fury Beast,2380.0,4,16,1,16,4,2666,16.0,1.2
6,Kingston,Kingston Fury Beast,2599.0,8,16,1,16,4,3200,16.0,1.35
7,Kingston,Kingston Fury Beast,2950.0,18,16,1,16,4,3600,18.0,1.35
8,Kingston,Kingston Fury Beast RGB,3399.0,7,16,1,16,4,3600,18.0,1.35
9,Patriot,Patriot Viper Steel,1880.0,0,16,1,16,4,3600,18.0,1.35
10,Kingston,Kingston Fury Beast RGB,3099.0,11,16,2,8,4,3200,16.0,1.35
11,Tforce,Tforce Delta RGB black,3599.0,14,16,2,8,4,3600,18.0,1.35
12,Tforce,Tforce Delta RGB white,3599.0,9,16,2,8,4,3600,18.0,1.35
13,Kingston,Kingston Fury Beast RGB,3699.0,6,16,2,8,4,3600,17.0,1.35
14,Kingston,Kingston Fury Beast,2950.0,1,16,2,8,4,3600,17.0,1.35
15,G.Skill,G.Skill Ripjaws V black,3199.0,5,16,2,8,4,3600,16.0,1.35
16,G.Skill,G.Skill Ripjaws V black,2725.0,25,16,2,8,4,3600,18.0,1.35
17,G.Skill,G.Skill Trident Z RGB black,3880.0,0,16,2,8,4,3600,18.0,1.35
18,G.Skill,G.Skill Trident Z Neo,3480.0,0,16,2,8,4,3600,18.0,1.35
19,G.Skill,G.Skill Trident Z Neo,4480.0,0,16,2,8,4,3600,16.0,1.35
20,Tforce,Tforce Delta RGB black,5499.0,7,32,2,16,4,3600,18.0,1.35
21,Tforce,Tforce Delta RGB white,5499.0,3,32,2,16,4,3600,18.0,1.35
22,Kingston,Kingston Fury Beast RGB,5399.0,0,32,2,16,4,3600,18.0,1.35
23,G.Skill,G.Skill Ripjaws V black,5599.0,8,32,2,16,4,3600,16.0,1.35
24,G.Skill,G.Skill Trident Z Royal silver,7399.0,0,32,2,16,4,3600,18.0,1.35
25,Kingston,Kingston Fury Beast RGB,8999.0,10,64,2,32,4,3600,18.0,1.35
26,Patriot,Patriot Viper Steel,8099.0,11,64,2,32,4,3600,18.0,1.35
27,Patriot,Patriot Venom,2499.0,0,16,1,16,5,5200,36.0,1.2
28,Patriot,Patriot Venom RGB,2880.0,0,16,1,16,5,5200,36.0,1.2
29,Kingston,Kingston Fury Beast black,3899.0,2,16,1,16,5,5600,36.0,1.25
30,Kingston,Kingston Fury Beast RGB black,4199.0,29,16,1,16,5,5600,36.0,1.25
31,Patriot,Patriot Venom,2680.0,0,16,1,16,5,5600,36.0,1.25
32,Patriot,Patriot Venom RGB,3199.0,0,16,1,16,5,5600,36.0,1.25
33,Transcend,Transcend CL46,3199.0,2,16,1,16,5,5600,46.0,
34,Kingston,Kingston Fury Beast white,4380.0,17,16,1,16,5,6000,40.0,1.35
35,Kingston,Kingston Fury Beast RGB white,4380.0,2,16,1,16,5,6000,40.0,1.35
36,Kingston,Kingston Fury Renegade RGB white,4480.0,7,16,1,16,5,6000,32.0,1.35
37,Patriot,Patriot Venom,2899.0,0,16,1,16,5,6000,30.0,1.35
38,Patriot,Patriot Venom RGB,3499.0,0,16,1,16,5,6000,30.0,1.35
39,Tforce,Tforce Delta RGB black,3799.0,3,16,1,16,5,6000,38.0,1.25
40,Tforce,Tforce Delta RGB white,3799.0,2,16,1,16,5,6000,38.0,1.25
41,Patriot,Patriot Venom,4699.0,0,32,1,32,5,5200,36.0,1.2
42,Patriot,Patriot Venom RGB,5199.0,0,32,1,32,5,5200,36.0,1.2
43,Patriot,Patriot Venom,5199.0,0,32,1,32,5,5600,36.0,1.25
44,Patriot,Patriot Venom RGB,5599.0,0,32,1,32,5,5600,36.0,1.25
45,Kingston,Kingston Fury Beast white,6699.0,5,32,1,32,5,6000,40.0,1.35
46,Kingston,Kingston Fury Beast RGB white,7199.0,6,32,1,32,5,6000,40.0,1.35
47,Patriot,Patriot Venom,5599.0,0,32,1,32,5,6000,30.0,1.35
48,Patriot,Patriot Venom RGB,6299.0,0,32,1,32,5,6000,30.0,1.35
49,Kingston,Kingston Fury Beast,3880.0,11,16,2,8,5,5200,40.0,1.25
50,Patriot,Patriot Venom,3799.0,5,16,2,8,5,5600,40.0,1.25
51,Kingston,Kingston Fury Beast,4280.0,0,16,2,8,5,6000,40.0,1.35
52,Kingston,Kingston Fury Beast RGB,5399.0,2,16,2,8,5,6000,40.0,1.35
53,Corsair,Corsair Dominator Platinum black,7899.0,1,32,2,16,5,5200,40.0,1.25
54,Corsair,Corsair Dominator Platinum white,7899.0,0,32,2,16,5,5200,40.0,1.25
55,Kingston,Kingston Fury Beast,6699.0,0,32,2,16,5,5600,36.0,1.25
56,Kingston,Kingston Fury Beast RGB,6999.0,0,32,2,16,5,5600,36.0,1.25
57,Patriot,Patriot Venom,5350.0,5,32,2,16,5,5600,36.0,1.25
58,G.Skill,G.Skill Trident Z5 RGB silver,8280.0,2,32,2,16,5,5600,36.0,1.2
59,G.Skill,G.Skill Ripjaws S5 black,7399.0,0,32,2,16,5,5600,36.0,1.2
60,G.Skill,G.Skill Ripjaws S5 white,7399.0,0,32,2,16,5,5600,36.0,1.2
61,G.Skill,G.Skill Ripjaws S5 black,6280.0,0,32,2,16,5,5600,46.0,1.1
62,G.Skill,G.Skill Ripjaws S5 white,6280.0,0,32,2,16,5,5600,46.0,1.1
63,Corsair,Corsair Dominator Platinum white,9999.0,1,32,2,16,5,5600,36.0,1.25
64,Kingston,Kingston Fury Beast,7799.0,4,32,2,16,5,6000,36.0,1.35
65,Kingston,Kingston Fury Beast,7799.0,2,32,2,16,5,6000,40.0,1.25
66,Patriot,Patriot Elite 5 TUF White,7799.0,2,32,2,16,5,6000,36.0,1.35
67,Patriot,Patriot Venom,5799.0,5,32,2,16,5,6000,36.0,1.35
68,Tforce,Tforce Delta RGB white,8099.0,0,32,2,16,5,6000,30.0,1.35
69,Tforce,Tforce Delta RGB black,7850.0,6,32,2,16,5,6000,38.0,1.25
70,Tforce,Tforce Delta RGB white,7850.0,0,32,2,16,5,6000,38.0,1.25
71,G.Skill,G.Skill Flare X5 black,6399.0,0,32,2,16,5,6000,36.0,1.25
72,G.Skill,G.Skill Flare X5 black,7150.0,2,32,2,16,5,6000,32.0,1.35
73,G.Skill,G.Skill Ripjaws M5 Neo RGB black,6999.0,0,32,2,16,5,6000,36.0,1.25
74,G.Skill,G.Skill Ripjaws M5 Neo RGB white,6999.0,0,32,2,16,5,6000,36.0,1.25
75,G.Skill,G.Skill Ripjaws M5 RGB black,7699.0,4,32,2,16,5,6000,32.0,1.35
76,G.Skill,G.Skill Ripjaws M5 RGB white,7699.0,4,32,2,16,5,6000,32.0,1.35
77,G.Skill,G.Skill Trident Z5 Neo RGB black,8650.0,0,32,2,16,5,6000,36.0,1.35
78,G.Skill,G.Skill Trident Z5 Neo RGB black,8525.0,5,32,2,16,5,6000,32.0,1.35
79,G.Skill,G.Skill Trident Z5 Neo RGB black,8650.0,10,32,2,16,5,6000,30.0,1.35
80,G.Skill,G.Skill Trident Z5 Neo RGB white,9150.0,4,32,2,16,5,6000,30.0,1.35
81,G.Skill,G.Skill Trident Z5 RGB black,8525.0,0,32,2,16,5,6000,36.0,1.35
82,G.Skill,G.Skill Trident Z5 RGB silver,8525.0,0,32,2,16,5,6000,36.0,1.35
83,G.Skill,G.Skill Trident Z5 RGB white,8525.0,1,32,2,16,5,6000,36.0,1.35
84,G.Skill,G.Skill Trident Z5 RGB black,7999.0,4,32,2,16,5,6000,32.0,1.35
85,G.Skill,G.Skill Trident Z5 RGB white,7999.0,3,32,2,16,5,6000,32.0,1.35
86,G.Skill,G.Skill Ripjaws S5 black,7150.0,0,32,2,16,5,6000,32.0,1.35
87,G.Skill,G.Skill Ripjaws S5 white,7150.0,0,32,2,16,5,6000,32.0,1.35
88,G.Skill,G.Skill Ripjaws S5 black,6299.0,0,32,2,16,5,6000,36.0,1.25
89,G.Skill,G.Skill Ripjaws S5 white,6299.0,0,32,2,16,5,6000,36.0,1.25
90,Corsair,Corsair Dominator Platinum black,9999.0,1,32,2,16,5,6000,36.0,1.25
91,Corsair,Corsair Dominator Platinum black,9699.0,2,32,2,16,5,6000,36.0,1.35
92,Corsair,Corsair Dominator Platinum black,10599.0,2,32,2,16,5,6000,36.0,1.35
93,Corsair,Corsair Dominator Titanium black,10999.0,2,32,2,16,5,6000,30.0,1.4
94,Corsair,Corsair Dominator Titanium white,10999.0,0,32,2,16,5,6000,30.0,1.4
95,Patriot,Patriot Elite 5 White,7750.0,2,32,2,16,5,6200,42.0,1.35
96,Patriot,Patriot Venom,6299.0,0,32,2,16,5,6200,40.0,1.35
97,Patriot,Patriot Venom RGB,6550.0,3,32,2,16,5,6000,36.0,1.35
98,Corsair,Corsair Dominator Platinum black,9899.0,2,32,2,16,5,6200,36.0,1.3
99,Patriot,Patriot Venom RGB,7999.0,2,32,2,16,5,6200,40.0,1.35
100,Tforce,Tforce Delta RGB black,7799.0,4,32,2,16,5,6400,40.0,1.35
101,Tforce,Tforce Delta RGB white,7799.0,5,32,2,16,5,6400,40.0,1.35
102,G.Skill,G.Skill Ripjaws M5 RGB black,7150.0,3,32,2,16,5,6400,32.0,1.4
103,G.Skill,G.Skill Ripjaws M5 RGB white,7150.0,3,32,2,16,5,6400,32.0,1.4
104,G.Skill,G.Skill Trident Z5 Neo RGB black,8999.0,5,32,2,16,5,6400,32.0,1.4
105,G.Skill,G.Skill Trident Z5 Neo RGB white CL32 1.4v,8999.0,2,32,2,16,5,6400,32.0,1.4
106,G.Skill,G.Skill Trident Z5 RGB black,8299.0,4,32,2,16,5,6400,32.0,1.4
107,G.Skill,G.Skill Trident Z5 RGB white,8299.0,2,32,2,16,5,6400,32.0,1.4
108,G.Skill,G.Skill Trident Z5 Royal RGB silver,9399.0,4,32,2,16,5,6400,32.0,1.4
109,Corsair,Corsair Dominator Platinum black,11500.0,2,32,2,16,5,6400,32.0,1.4
110,Patriot,Patriot Elite 5 White,8225.0,2,32,2,16,5,6600,36.0,1.4
111,Patriot,Patriot Elite 5 TUF White,8550.0,2,32,2,16,5,6600,34.0,1.4
112,Corsair,Corsair Dominator Titanium black,11999.0,4,32,2,16,5,6600,32.0,1.4
113,Corsair,Corsair Dominator Titanium white,11999.0,1,32,2,16,5,6600,32.0,1.4
114,Corsair,Corsair Dominator Titanium black,13450.0,2,32,2,16,5,7200,34.0,1.45
115,Patriot,Patriot Xtreme 5 RGB,9799.0,1,32,2,16,5,7600,36.0,1.45
116,Patriot,Patriot Xtreme 5 RGB,10999.0,2,32,2,16,5,7800,38.0,1.45
117,Patriot,Patriot Xtreme 5 RGB,12725.0,1,32,2,16,5,8000,38.0,1.45
118,Patriot,Patriot Elite 5 White,10350.0,2,48,2,24,5,6000,42.0,1.35
119,Patriot,Patriot Elite 5 TUF White,9980.0,2,48,2,24,5,6000,36.0,1.35
120,Patriot,Patriot Elite 5 TUF White,11799.0,2,48,2,24,5,6600,34.0,1.4
121,Patriot,Patriot Xtreme 5 RGB,13999.0,1,48,2,24,5,7600,36.0,1.45
122,Patriot,Patriot Xtreme 5 RGB,15999.0,2,48,2,24,5,8000,38.0,1.45
123,Kingston,Kingston Fury Beast,12999.0,3,64,2,32,5,5600,40.0,1.25
124,Kingston,Kingston Fury Beast RGB,13899.0,2,64,2,32,5,5600,40.0,1.25
125,G.Skill,G.Skill Trident Z5 RGB black,14399.0,3,64,2,32,5,5600,36.0,1.25
126,G.Skill,G.Skill Ripjaws S5 black,11499.0,0,64,2,32,5,5600,46.0,1.1
127,G.Skill,G.Skill Ripjaws S5 white,11499.0,0,64,2,32,5,5600,46.0,1.1
128,Kingston,Kingston Fury Renegade RGB white,14299.0,3,64,2,32,5,6000,32.0,1.35
129,Patriot,Patriot Venom,11750.0,3,64,2,32,5,6000,36.0,1.35
130,Tforce,Tforce Delta RGB black,13999.0,2,64,2,32,5,6000,38.0,1.25
131,Tforce,Tforce Delta RGB white,13999.0,2,64,2,32,5,6000,38.0,1.25
132,G.Skill,G.Skill Ripjaws M5 RGB black,14650.0,3,64,2,32,5,6000,32.0,1.4
133,G.Skill,G.Skill Ripjaws M5 RGB white,14650.0,1,64,2,32,5,6000,32.0,1.4
134,G.Skill,G.Skill Trident Z5 Neo RGB black,15150.0,2,64,2,32,5,6000,32.0,1.4
135,G.Skill,G.Skill Trident Z5 Neo RGB black,15280.0,3,64,2,32,5,6000,30.0,1.4
136,G.Skill,G.Skill Trident Z5 Neo RGB white,16280.0,1,64,2,32,5,6000,30.0,1.4
137,G.Skill,G.Skill Trident Z5 RGB white,14399.0,0,64,2,32,5,6000,36.0,1.35
138,G.Skill,G.Skill Trident Z5 RGB black,15399.0,2,64,2,32,5,6000,32.0,1.4
139,G.Skill,G.Skill Trident Z5 RGB white,15150.0,0,64,2,32,5,6000,30.0,1.4
140,Corsair,Corsair Dominator Platinum black,15699.0,0,64,2,32,5,6000,40.0,1.35
141,Patriot,Patriot Elite 5 White,13180.0,2,64,2,32,5,6200,42.0,1.35
142,Patriot,Patriot Venom,12999.0,3,64,2,32,5,6400,32.0,1.4
143,G.Skill,G.Skill Ripjaws M5 RGB black,15150.0,4,64,2,32,5,6400,32.0,1.4
144,G.Skill,G.Skill Ripjaws M5 RGB white,15150.0,4,64,2,32,5,6400,32.0,1.4
145,G.Skill,G.Skill Trident Z5 RGB black,15525.0,0,64,2,32,5,6400,32.0,1.4
146,G.Skill,G.Skill Trident Z5 RGB white,15525.0,1,64,2,32,5,6400,32.0,1.4
147,G.Skill,G.Skill Trident Z5 Royal RGB silver,17799.0,2,64,2,32,5,6400,32.0,1.4
148,Corsair,Corsair Dominator Platinum black,18399.0,4,64,2,32,5,6400,32.0,1.4
149,Corsair,Corsair Dominator Platinum black,18699.0,3,64,2,32,5,6600,32.0,1.4
150,Patriot,Patriot Elite 5 White,19699.0,0,96,2,48,5,6000,42.0,1.35
165,Corsair,Corsair Dominator Platinum RGB black,7899.0,1,32,2,16,5,5200,40.0,1.25
166,Corsair,Corsair Dominator Platinum RGB white,7899.0,0,32,2,16,5,5200,40.0,1.25
167,G.Skill,G.Skill Trident Z5 Neo RGB black,9999.0,0,32,2,16,5,7200,34.0,1.4
168,G.Skill,G.Skill Trident Z5 Neo RGB white,9999.0,0,32,2,16,5,7200,34.0,1.4
169,Corsair,Corsair Dominator Platinum RGB black,15699.0,0,64,2,32,5,6000,40.0,1.35
170,Patriot,Patriot Viper Steel RGB,1280.0,0,8,1,8,4,3200,18.0,1.35
171,Patriot,Patriot Viper Steel,1680.0,0,16,1,16,4,3200,16.0,1.35
172,Patriot,Patriot Viper Steel RGB,1880.0,0,16,1,16,4,3200,18.0,1.35
173,Kingston,Kingston Fury Beast white,11999.0,0,64,2,32,5,6000,36.0,1.35
174,Kingston,Kingston Fury Beast white,12999.0,0,64,2,32,5,6000,30.0,1.4
175,Kingston,Kingston Fury Beast,14950.0,0,64,2,32,5,6400,32.0,1.4
176,Kingston,Kingston Fury Beast RGB,15599.0,0,64,2,32,5,6400,32.0,1.4
177,Tforce,Tforce Delta RGB black,7699.0,4,32,2,16,5,6400,32.0,1.35
178,Tforce,Tforce Delta RGB white,7699.0,5,32,2,16,5,6400,32.0,1.35
179,Tforce,Tforce Delta RGB silver,7699.0,0,32,2,16,5,6400,32.0,1.35
180,Tforce,Tforce Delta RGB black,3599.0,14,16,2,8,4,3600,18.0,1.35
181,G.Skill,G.Skill Trident Z5 RGB black,9499.0,0,32,2,16,5,7200,34.0,1.4
182,G.Skill,G.Skill Trident Z5 RGB black,10799.0,0,32,2,16,5,7600,36.0,1.4
183,G.Skill,G.Skill Ripjaws M5 Neo RGB black,6799.0,0,32,2,16,5,6000,36.0,1.35
184,G.Skill,G.Skill Ripjaws M5 Neo RGB white,6799.0,0,32,2,16,5,6000,36.0,1.35
185,G.Skill,G.Skill Ripjaws S5 black,6399.0,0,32,2,16,5,6000,36.0,1.35
186,G.Skill,G.Skill Trident Z5 Neo RGB black,15199.0,3,64,2,32,5,6000,30.0,1.4
187,G.Skill,G.Skill Trident Z5 Neo RGB white,16699.0,0,64,2,32,5,6000,30.0,1.4
188,G.Skill,G.Skill Trident Z5 RGB black,15150.0,0,64,2,32,5,6000,30.0,1.4
189,G.Skill,G.Skill Ripjaws M5 Neo RGB black,6899.0,0,32,2,16,5,6000,36.0,1.25
190,G.Skill,G.Skill Ripjaws M5 Neo RGB white,6899.0,0,32,2,16,5,6000,36.0,1.25
191,G.Skill,G.Skill Ripjaws M5 Neo RGB black,6799.0,0,32,2,16,5,6000,36.0,1.35
192,G.Skill,G.Skill Ripjaws M5 Neo RGB white,6799.0,0,32,2,16,5,6000,36.0,1.35
193,G.Skill,G.Skill Trident Z5 Royal silver,11999.0,0,32,2,16,5,7600,36.0,1.4
194,G.Skill,G.Skill Trident Z5 RGB black,13599.0,0,32,2,16,5,8000,38.0,1.45
195,G.Skill,G.Skill Trident Z5 Neo RGB black,18599.0,0,48,2,24,5,8000,40.0,1.4
196,Patriot,Patriot Venom,2499.0,0,16,1,16,5,5200,36.0,1.2
197,Patriot,Patriot Venom RGB,2880.0,7,16,1,16,5,5200,36.0,1.2
198,Kingston,Kingston Fury Beast black,3450.0,2,16,1,16,5,5600,36.0,1.25
199,Kingston,Kingston Fury Beast RGB black,3299.0,25,16,1,16,5,5600,36.0,1.25
200,Patriot,Patriot Venom,2680.0,0,16,1,16,5,5600,36.0,1.25
201,Patriot,Patriot Venom RGB,3199.0,1,16,1,16,5,5600,36.0,1.25
202,Kingston,Kingston Fury Beast white,3750.0,15,16,1,16,5,6000,40.0,1.35
203,Kingston,Kingston Fury Renegade RGB white,4199.0,5,16,1,16,5,6000,32.0,1.35
204,Patriot,Patriot Venom,2899.0,0,16,1,16,5,6000,30.0,1.35
205,Patriot,Patriot Venom RGB,3499.0,0,16,1,16,5,6000,30.0,1.35
206,Tforce,Tforce Delta RGB black,3799.0,6,16,1,16,5,6000,38.0,1.25
207,Tforce,Tforce Delta RGB white,3799.0,3,16,1,16,5,6000,38.0,1.25
208,Patriot,Patriot Venom,4699.0,9,32,1,32,5,5200,36.0,1.2
209,Patriot,Patriot Venom RGB,5199.0,9,32,1,32,5,5200,36.0,1.2
210,Patriot,Patriot Venom,5199.0,2,32,1,32,5,5600,36.0,1.25
211,Patriot,Patriot Venom RGB,5599.0,2,32,1,32,5,5600,36.0,1.25
212,Kingston,Kingston Fury Beast white,6699.0,9,32,1,32,5,6000,40.0,1.35
213,Kingston,Kingston Fury Beast RGB white,7250.0,6,32,1,32,5,6000,40.0,1.35
214,Patriot,Patriot Venom,5599.0,0,32,1,32,5,6000,30.0,1.35
215,Patriot,Patriot Venom RGB,6299.0,2,32,1,32,5,6000,30.0,1.35
216,Kingston,Kingston Fury Beast,3599.0,10,16,2,8,5,5200,40.0,1.25
217,Patriot,Patriot Venom,3799.0,0,16,2,8,5,5600,40.0,1.25
218,Kingston,Kingston Fury Beast,4280.0,14,16,2,8,5,6000,40.0,1.35
219,Kingston,Kingston Fury Beast RGB,5399.0,3,16,2,8,5,6000,40.0,1.35
220,Corsair,Corsair Dominator Platinum RGB black,7450.0,0,32,2,16,5,5200,40.0,1.25
221,Corsair,Corsair Dominator Platinum RGB white,7450.0,0,32,2,16,5,5200,40.0,1.25
222,Kingston,Kingston Fury Beast,6599.0,12,32,2,16,5,5600,36.0,1.25
223,Kingston,Kingston Fury Beast RGB,7199.0,2,32,2,16,5,5600,36.0,1.25
224,Patriot,Patriot Venom,5350.0,0,32,2,16,5,5600,36.0,1.25
225,G.Skill,G.Skill Trident Z5 RGB silver,7099.0,1,32,2,16,5,5600,36.0,1.2
226,G.Skill,G.Skill Ripjaws S5 black,6150.0,2,32,2,16,5,5600,36.0,1.2
227,G.Skill,G.Skill Ripjaws S5 white,6150.0,0,32,2,16,5,5600,36.0,1.2
228,G.Skill,G.Skill Ripjaws S5 black,6150.0,6,32,2,16,5,5600,46.0,1.1
